Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn
1993/1994,1993,0,0,0,0,0,0,0,0,0
1994/1995,1994,0,0,0,0,0,0,0,0,0
1995/1996,1995,1,1,1,1,1,1,1,1,1
1996/1997,1996,2,2,2,2,2,2,2,2,2
1997/1998,1997,7,7,3,7,7,3,7,7,3
1998/1999,1998,1,1,4,1,1,4,1,1,4
1999/2000,1999,6,6,5,6,6,5,6,6,5
2000/2001,2000,4,,5,4,,5,4,,5
2001/2002,2001,4,,4,4,,4,4,,4
2002/2003,2002,6,,3,6,,3,6,,3
2003/2004,2003,0,0,2,0,0,2,0,0,2
2004/2005,2004,1,1,1,1,1,1,0,0,1
2005/2006,2005,0,0,1,0,0,1,0,0,1
2006/2007,2006,0,0,2,0,0,2,0,0,1
2007/2008,2007,3,,2,3,,2,2,2,2
2008/2009,2008,6,6,4,6,6,4,6,6,4
2009/2010,2009,8,8,7,8,8,7,8,8,6
2010/2011,2010,6,6,10,6,6,10,6,6,10
2011/2012,2011,19,19,16,19,19,16,19,19,16
2012/2013,2012,25,25,27,25,25,27,26,26,27
2013/2014,2013,39,39,48,39,39,48,39,39,48
2014/2015,2014,99,99,79,99,99,79,100,100,80
2015/2016,2015,68,68,82,68,68,82,68,68,82
2016/2017,2016,91,91,85,91,91,85,92,92,85
2017/2018,2017,81,81,92,81,81,92,80,80,91
2018/2019,2018,121,121,110,121,121,110,121,121,109
2019/2020,2019,100,100,104,100,100,104,100,100,104
