Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,138,138,152,0,0,,138,138,152,139,139,152,1400,,1942
1967/1968,1967,208,208,206,0,0,,208,208,206,208,208,207,6400,,6252
1968/1969,1968,245,245,266,0,0,,245,245,266,244,244,265,15400,,15266
1969/1970,1969,351,351,305,0,0,,351,351,305,349,349,303,25900,25900,22925
1970/1971,1970,322,322,285,0,0,,322,322,285,320,320,282,18400,18400,23892
1971/1972,1971,209,209,227,0,0,,209,209,227,203,203,222,37300,,35150
1972/1973,1972,157,157,180,0,0,,157,157,180,152,152,176,34700,,33142
1973/1974,1973,166,166,160,20,20,,166,166,160,162,162,157,16800,16800,13864
1974/1975,1974,88,88,169,0,0,,88,88,169,88,88,167,400,,4913
1975/1976,1975,249,249,214,0,0,,249,249,214,247,247,210,2400,2400,6182
1976/1977,1976,325,325,268,0,0,,325,325,268,319,319,263,25500,25500,21420
1977/1978,1977,238,238,300,0,0,,238,238,300,230,230,293,42300,42300,39491
1978/1979,1978,427,427,308,0,0,,427,427,308,421,421,302,24400,24400,29458
1979/1980,1979,191,191,285,133,,,191,191,285,186,186,281,23000,23000,16872
1980/1981,1980,243,243,289,7,7,,243,243,289,241,241,286,0,0,5120
1981/1982,1981,393,393,316,0,0,,393,393,316,391,391,314,4700,,2040
1982/1983,1982,325,325,325,47,47,,325,325,325,325,325,324,0,0,930
1983/1984,1983,283,283,327,67,67,,283,283,327,283,283,326,300,300,637
1984/1985,1984,362,362,339,547,547,,362,362,339,361,361,339,700,700,758
1985/1986,1985,363,363,350,73,73,,363,363,350,363,363,349,1200,1200,1473
1986/1987,1986,323,323,357,7,7,,323,323,357,323,323,356,0,0,4076
1987/1988,1987,370,370,371,7,7,,370,370,371,367,367,369,17700,17700,8766
1988/1989,1988,420,420,372,193,,,420,420,372,419,419,371,300,300,4038
1989/1990,1989,317,317,345,113,113,,317,317,345,317,317,344,600,600,1325
1990/1991,1990,318,318,313,40,40,,318,318,313,318,318,312,700,700,563
1991/1992,1991,316,316,285,2033,2033,,316,316,285,312,312,283,0,0,316
1992/1993,1992,187,187,271,567,567,,187,187,271,185,185,269,0,0,226
1993/1994,1993,372,372,287,700,700,,372,372,287,369,369,285,1000,1000,179
1994/1995,1994,204,204,314,100,100,,204,204,314,204,204,311,0,0,130
1995/1996,1995,433,433,359,1993,1993,,433,433,359,427,427,356,0,0,93
1996/1997,1996,397,397,362,7,7,,397,397,362,397,397,361,0,0,73
1997/1998,1997,300,300,316,113,113,,300,300,316,299,299,316,100,100,65
1998/1999,1998,230,230,266,7,7,,230,230,266,230,230,265,0,0,66
1999/2000,1999,276,276,229,7,7,,276,276,229,276,276,229,0,0,79
2000/2001,2000,126,126,199,0,0,,126,126,199,126,126,199,0,0,108
2001/2002,2001,236,236,184,47,47,,236,236,184,236,236,184,200,200,160
2002/2003,2002,172,172,164,0,0,,172,172,164,172,172,164,700,700,233
2003/2004,2003,111,111,143,40,40,,111,111,143,111,111,143,100,100,312
2004/2005,2004,136,136,128,0,0,,136,136,128,136,136,128,0,0,427
2005/2006,2005,149,149,114,7,7,,149,149,114,149,149,114,800,800,609
2006/2007,2006,74,74,101,0,0,,74,74,101,74,74,101,200,200,794
2007/2008,2007,88,88,96,20,20,,88,88,96,88,88,95,2500,2500,811
2008/2009,2008,92,92,101,107,107,,92,92,101,91,91,100,0,0,531
2009/2010,2009,85,85,116,7,7,,85,85,116,84,84,113,0,0,301
2010/2011,2010,136,136,136,20,20,,136,136,136,135,135,131,0,0,187
2011/2012,2011,261,261,141,6253,6253,,261,261,141,237,237,133,400,400,136
2012/2013,2012,78,78,115,13,13,,78,78,115,79,79,110,0,0,115
2013/2014,2013,61,61,91,7,7,,61,61,91,61,61,89,0,0,120
2014/2015,2014,38,38,82,20,20,,38,38,82,38,38,81,0,0,159
2015/2016,2015,82,82,84,73,73,,82,82,84,82,82,84,0,0,258
2016/2017,2016,165,165,89,27,27,,165,165,89,165,165,89,0,0,455
2017/2018,2017,57,57,87,60,60,,57,57,87,56,56,87,2500,2500,660
2018/2019,2018,66,66,85,100,100,,66,66,85,65,65,85,0,0,586
2019/2020,2019,100,100,87,0,0,,100,100,87,100,100,87,100,100,416
