Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,0,,1,,,,0,,1,0,,1,0,0,0
1967/1968,1967,1,1,1,,,,1,1,1,2,2,1,0,0,0
1968/1969,1968,0,0,1,,,,0,0,1,0,0,1,0,0,0
1969/1970,1969,1,1,1,,,,1,1,1,1,1,1,0,0,0
1970/1971,1970,1,1,1,,,,2,2,1,2,2,1,0,0,0
1971/1972,1971,0,0,1,,,,0,0,1,0,0,1,0,,0
1972/1973,1972,0,0,1,,,,0,0,1,0,0,1,0,0,0
1973/1974,1973,1,1,1,,,,1,1,1,1,1,1,0,0,0
1974/1975,1974,1,1,1,,,,1,1,1,1,1,1,0,0,0
1975/1976,1975,1,1,1,,,,1,1,1,2,2,1,0,0,0
1976/1977,1976,1,1,1,,,,1,1,1,1,1,2,0,0,0
1977/1978,1977,1,1,1,,,,1,1,2,2,2,2,1,1,0
1978/1979,1978,2,2,2,,,,2,2,2,3,3,3,1,1,0
1979/1980,1979,2,2,2,,,,2,2,3,3,3,4,0,0,0
1980/1981,1980,6,6,3,,,,7,7,4,8,8,5,0,0,0
1981/1982,1981,3,3,4,,,,4,4,5,5,5,6,0,0,0
1982/1983,1982,4,4,5,,,,5,5,6,6,6,7,0,0,0
1983/1984,1983,7,7,7,,,,8,8,7,10,10,9,0,0,1
1984/1985,1984,9,9,9,,,,8,8,9,10,10,11,2,2,2
1985/1986,1985,12,12,12,,,,12,12,12,14,14,14,3,,3
1986/1987,1986,16,16,15,,,,16,16,14,19,19,17,4,4,5
1987/1988,1987,16,16,16,,,,16,16,16,18,18,19,8,8,7
1988/1989,1988,18,18,18,19,19,20,18,18,17,21,21,20,8,8,6
1989/1990,1989,16,16,19,23,23,22,15,15,18,18,18,22,3,3,3
1990/1991,1990,21,21,20,23,23,24,21,21,20,25,25,24,1,,2
1991/1992,1991,24,24,22,26,26,26,23,23,21,29,29,26,0,0,1
1992/1993,1992,21,21,23,27,27,27,20,20,22,25,25,27,1,1,1
1993/1994,1993,27,27,23,29,29,29,26,26,23,33,33,28,1,1,1
1994/1995,1994,20,20,24,32,32,31,17,17,24,22,22,29,0,0,1
1995/1996,1995,29,29,27,27,27,33,30,30,26,38,38,33,0,0,1
1996/1997,1996,29,29,31,38,38,37,28,28,30,35,35,37,2,2,1
1997/1998,1997,36,36,34,46,46,40,34,34,33,42,42,41,1,1,1
1998/1999,1998,38,38,36,41,41,43,38,38,35,47,47,44,2,2,1
1999/2000,1999,35,35,37,46,46,45,33,33,36,41,41,45,1,1,1
2000/2001,2000,36,36,38,46,46,47,34,34,38,43,43,47,0,0,1
2001/2002,2001,44,44,41,41,41,53,46,46,40,57,57,50,0,0,1
2002/2003,2002,45,45,43,71,71,63,40,40,39,50,50,48,2,2,2
2003/2004,2003,39,39,42,77,77,71,32,32,37,40,40,44,2,2,7
2004/2005,2004,45,45,42,70,70,71,40,40,37,43,43,41,31,31,24
2005/2006,2005,43,43,42,75,75,68,38,38,38,38,38,41,37,37,35
2006/2007,2006,40,40,44,48,48,66,38,38,41,42,42,45,26,26,24
2007/2008,2007,53,53,50,84,84,72,47,47,47,58,58,54,6,6,15
2008/2009,2008,55,55,57,61,61,80,55,55,53,63,63,62,22,22,20
2009/2010,2009,67,67,64,108,108,90,60,60,58,65,65,67,40,40,28
2010/2011,2010,65,65,66,97,97,86,60,60,62,74,74,72,7,7,27
2011/2012,2011,68,68,67,71,71,72,68,68,67,70,70,77,63,63,38
2012/2013,2012,70,70,69,38,38,64,76,76,72,95,95,83,5,5,28
2013/2014,2013,69,69,76,70,70,71,69,69,78,74,74,86,55,55,48
2014/2015,2014,100,100,91,99,99,82,101,101,91,105,105,98,86,86,79
2015/2016,2015,95,95,101,100,100,78,95,95,104,103,103,114,68,68,69
2016/2017,2016,109,109,112,42,42,65,123,123,122,141,141,133,62,62,76
2017/2018,2017,128,128,116,56,56,63,141,141,127,141,141,132,155,155,136
2018/2019,2018,92,92,103,73,73,73,96,96,109,97,97,110,97,97,108
2019/2020,2019,100,100,97,100,100,94,100,100,97,100,100,97,100,100,98
